Prospect RSS Feeds
Current Prospects
Prospect Name	RSS Feed	Data Source	Last Scrape Status	Last Scrape Timestamp
Rugby Addict	-	N/A	failed	2025-12-01 06:37:37
Pacific Media Group	https://swelbyboy.github.io/prospect-rss-feeds/pacific-media-group.xml	OG	success	2025-12-01 06:37:38
It's Gone Viral	https://swelbyboy.github.io/prospect-rss-feeds/it-s-gone-viral.xml	OG	success	2025-12-01 06:37:42
SamMobile.com	https://swelbyboy.github.io/prospect-rss-feeds/sammobile-com.xml	OG	success	2025-12-01 06:37:44
Isle of Wight Radio	https://swelbyboy.github.io/prospect-rss-feeds/isle-of-wight-radio.xml	OG	success	2025-12-01 06:37:45
KTTN	https://swelbyboy.github.io/prospect-rss-feeds/kttn.xml	OG	success	2025-12-01 06:37:47
Gay Times	https://swelbyboy.github.io/prospect-rss-feeds/gay-times.xml	OG	success	2025-12-01 06:37:49
Catchfence	https://swelbyboy.github.io/prospect-rss-feeds/catchfence.xml	OG	success	2025-12-01 06:37:57
Eleven Warriors	https://swelbyboy.github.io/prospect-rss-feeds/eleven-warriors.xml	OG	success	2025-12-01 06:37:58
Crime Online	https://swelbyboy.github.io/prospect-rss-feeds/crime-online.xml	OG	success	2025-12-01 06:37:59
Best Little Sites	https://swelbyboy.github.io/prospect-rss-feeds/best-little-sites.xml	OG	success	2025-12-01 06:38:00
Ringside News	https://swelbyboy.github.io/prospect-rss-feeds/ringside-news.xml	OG	success	2025-12-01 06:38:01
Pulse 2.0	https://swelbyboy.github.io/prospect-rss-feeds/pulse-2-0.xml	OG	success	2025-12-01 06:38:04
KnowTechie	https://swelbyboy.github.io/prospect-rss-feeds/knowtechie.xml	OG	success	2025-12-01 06:38:05
Londra Gazete	https://swelbyboy.github.io/prospect-rss-feeds/londra-gazete.xml	OG	success	2025-12-01 06:38:09
Vital MTB	-	N/A	failed	2025-12-01 06:38:09
Just Jared	https://swelbyboy.github.io/prospect-rss-feeds/just-jared.xml	OG	success	2025-12-01 06:38:10
Rimix Radio	https://swelbyboy.github.io/prospect-rss-feeds/rimix-radio.xml	OG	success	2025-12-01 06:38:26
The Poke	https://swelbyboy.github.io/prospect-rss-feeds/the-poke.xml	OG (9), RSS (1)	success	2025-12-01 06:38:30
Celeb Dirty Laundry	https://swelbyboy.github.io/prospect-rss-feeds/celeb-dirty-laundry.xml	OG	success	2025-12-01 06:38:38
Quad Cities	https://swelbyboy.github.io/prospect-rss-feeds/quad-cities.xml	OG	success	2025-12-01 06:38:44
Jedi News	https://swelbyboy.github.io/prospect-rss-feeds/jedi-news.xml	RSS	success	2025-12-01 06:38:48
AllHipHop	https://swelbyboy.github.io/prospect-rss-feeds/allhiphop.xml	OG	success	2025-12-01 06:38:50
Mom and More	https://swelbyboy.github.io/prospect-rss-feeds/mom-and-more.xml	OG	success	2025-12-01 06:39:02
IMBOLDN	https://swelbyboy.github.io/prospect-rss-feeds/imboldn.xml	OG	success	2025-12-01 06:39:24
Derry Daily	-	N/A	failed	2025-12-01 06:39:24
Indiana Public Media	https://swelbyboy.github.io/prospect-rss-feeds/indiana-public-media.xml	OG	success	2025-12-01 06:39:28
I Creative Ideas	https://swelbyboy.github.io/prospect-rss-feeds/i-creative-ideas.xml	OG	success	2025-12-01 06:39:29
Newsdakota.com	https://swelbyboy.github.io/prospect-rss-feeds/newsdakota-com.xml	OG	success	2025-12-01 06:39:31
MageeNews.com	https://swelbyboy.github.io/prospect-rss-feeds/mageenews-com.xml	OG	success	2025-12-01 06:39:37
TheBigLead	-	N/A	failed	2025-12-01 06:39:37
EventHubs	https://swelbyboy.github.io/prospect-rss-feeds/eventhubs.xml	OG	success	2025-12-01 06:39:42
Thecryptobasic	https://swelbyboy.github.io/prospect-rss-feeds/thecryptobasic.xml	OG	success	2025-12-01 06:39:52
FOX 24 Charleston	https://swelbyboy.github.io/prospect-rss-feeds/fox-24-charleston.xml	OG	success	2025-12-01 06:39:53
The Manual	https://swelbyboy.github.io/prospect-rss-feeds/the-manual.xml	OG	success	2025-12-01 06:39:54
Heritage Media Of Kentucky, Inc	https://swelbyboy.github.io/prospect-rss-feeds/heritage-media-of-kentucky--inc.xml	OG	success	2025-12-01 06:39:57
Ziarul Românesc	https://swelbyboy.github.io/prospect-rss-feeds/ziarul-românesc.xml	OG	success	2025-12-01 06:40:00
Bounding Into Comics	https://swelbyboy.github.io/prospect-rss-feeds/bounding-into-comics.xml	OG	success	2025-12-01 06:40:01
MyMMANews.com	https://swelbyboy.github.io/prospect-rss-feeds/mymmanews-com.xml	OG	success	2025-12-01 06:40:07
Kiss Binghamton	https://swelbyboy.github.io/prospect-rss-feeds/kiss-binghamton.xml	OG	success	2025-12-01 06:40:21
The Fandom Post	-	N/A	failed	2025-12-01 06:40:22
Ruck Rugby Limited	-	N/A	failed	2025-12-01 06:40:22
BangShift.com	https://swelbyboy.github.io/prospect-rss-feeds/bangshift-com.xml	OG	success	2025-12-01 06:40:24
AcheiUSA	https://swelbyboy.github.io/prospect-rss-feeds/acheiusa.xml	OG	success	2025-12-01 06:40:32
BlackSportsOnline	https://swelbyboy.github.io/prospect-rss-feeds/blacksportsonline.xml	OG	success	2025-12-01 06:40:33
EDM Identity	https://swelbyboy.github.io/prospect-rss-feeds/edm-identity.xml	OG	success	2025-12-01 06:40:35
Awful Announcing	https://swelbyboy.github.io/prospect-rss-feeds/awful-announcing.xml	OG	success	2025-12-01 06:40:36
Motorsport Week	https://swelbyboy.github.io/prospect-rss-feeds/motorsport-week.xml	OG	success	2025-12-01 06:40:40
Mactrast	https://swelbyboy.github.io/prospect-rss-feeds/mactrast.xml	OG	success	2025-12-01 06:40:46
411Mania	-	N/A	failed	2025-12-01 06:40:47
Awareness Act	https://swelbyboy.github.io/prospect-rss-feeds/awareness-act.xml	OG	success	2025-12-01 06:40:47
Bleeding Cool	https://swelbyboy.github.io/prospect-rss-feeds/bleeding-cool.xml	OG	success	2025-12-01 06:40:47
The Hard Tackle	https://swelbyboy.github.io/prospect-rss-feeds/the-hard-tackle.xml	OG	success	2025-12-01 06:40:51
Comic Watch	https://swelbyboy.github.io/prospect-rss-feeds/comic-watch.xml	OG	success	2025-12-01 06:40:55
MSPoweruser.com	-	N/A	failed	2025-12-01 06:40:55
Soccer Publishing Limited	https://swelbyboy.github.io/prospect-rss-feeds/soccer-publishing-limited.xml	OG	success	2025-12-01 06:40:56
American Football International, LLC	https://swelbyboy.github.io/prospect-rss-feeds/american-football-international--llc.xml	OG	success	2025-12-01 06:41:01
Ink Free News	https://swelbyboy.github.io/prospect-rss-feeds/ink-free-news.xml	OG	success	2025-12-01 06:41:13
LNGIndustry	https://swelbyboy.github.io/prospect-rss-feeds/lngindustry.xml	OG	success	2025-12-01 06:41:22
