Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Rugby Addict,https://rugby-addict.com/fr/55d3bd647880b1a27a8b457c/rss,N/A,failed,2025-11-29 11:33:29,United Kingdom,rugby-addict.com,No feed generated,FALSE,Sam,,FALSE,
UCLA,-,N/A,-,,United States,ucla.edu,No feed generated,FALSE,,,FALSE,
Pacific Media Group,https://pmghawaii.com/feed,OG,success,2025-11-29 11:33:29,United States,pmghawaii.com,Parent org,FALSE,Karen,,FALSE,
3FM,-,N/A,-,,United Kingdom,three.fm,No feed generated,FALSE,,,FALSE,
It's Gone Viral,https://igvofficial.com/feed,OG,success,2025-11-29 11:33:34,United Kingdom,igvofficial.com,Error adding feed to EBX,FALSE,Sam,,FALSE,An error occurred while validating the feed URL
Haystack News,-,N/A,-,,United States,haystack.tv,No feed generated,FALSE,,,FALSE,
London Bangla Ltd,-,N/A,-,,United Kingdom,lb24.tv,No feed generated,FALSE,,,FALSE,
SamMobile.com,https://sammobile.com/feed,OG,success,2025-11-29 11:33:35,United States,sammobile.com,Sending,FALSE,Karen,,FALSE,
Isle of Wight Radio,https://www.iwradio.co.uk/blog-feed.xml,OG,success,2025-11-29 11:33:36,United Kingdom,iwradio.co.uk,Sending,FALSE,Sam,,FALSE,
The Richmond Observer,-,N/A,-,,United States,richmondobserver.com,No feed generated,FALSE,,,FALSE,
KTTN,https://kttn.com/feed,OG,success,2025-11-29 11:33:38,United States,kttn.com,Error adding feed to EBX,FALSE,Karen,,FALSE,Error adding content feed
Chinese Herald,https://www.chineseherald.co.nz/home/rss,N/A,failed,2025-11-29 12:03:00,New Zealand,chineseherald.co.nz,No feed generated,FALSE,Later,,FALSE,
Gay Times,https://gaytimes.co.uk/feed,OG,success,2025-11-29 11:33:40,United Kingdom,gaytimes.co.uk,Sending,FALSE,Sam,,FALSE,
Catchfence,https://catchfence.com/rss.xml,OG,success,2025-11-29 11:33:48,United States,catchfence.com,Error adding feed to EBX,FALSE,Karen,,FALSE,Error adding content feed
Eleven Warriors,https://elevenwarriors.com/rss.xml,OG,success,2025-11-29 11:33:49,United States,elevenwarriors.com,Sending,FALSE,Karen,,FALSE,
Farmers Guardian,https://farmersguardian.com/.rss,OG,success,2025-11-29 12:03:02,,farmersguardian.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Crime Online,https://crimeonline.com/feed,OG,success,2025-11-29 11:33:50,United States,crimeonline.com,Sending,FALSE,Karen,,FALSE,
Best Little Sites,https://comicbookmovie.com/rss,OG,success,2025-11-29 11:33:51,United States,comicbookmovie.com,Sending,FALSE,Karen,,FALSE,
Ringside News,https://ringsidenews.com/feed,OG,success,2025-11-29 11:33:52,United States,ringsidenews.com,Sending,FALSE,Karen,,FALSE,
Pulse 2.0,https://pulse2.com/feed,OG,success,2025-11-29 11:33:54,United States,pulse2.com,Sending,FALSE,Karen,,FALSE,
Cricket Australia,https://cricketaustralia.com.au/news/rss,RSS,success,2025-11-29 12:03:04,Australia,cricketaustralia.com.au,Error adding feed to EBX,FALSE,Sam,,FALSE,Error adding content feed
KnowTechie,https://knowtechie.com/feed,OG,success,2025-11-29 11:33:56,United States,knowtechie.com,Sending,FALSE,Karen,,FALSE,
Londra Gazete,https://londragazete.com/rss.xml,OG,success,2025-11-29 11:34:00,United Kingdom,londragazete.com,Sending,FALSE,Sam,,FALSE,Error adding content feed
Vital MTB,https://vitalmtb.com/rss.xml,N/A,failed,2025-11-29 11:34:00,United States,vitalmtb.com,No feed generated,FALSE,Sam,,FALSE,
Eagle Country 99.3,-,N/A,-,,United States,eaglecountryonline.com,No feed generated,FALSE,,,FALSE,
Just Jared,https://justjared.com/feed,OG,success,2025-11-29 11:34:01,United States,justjared.com,Insufficient/Old Content,FALSE,Sam,,FALSE,No content showing on newsletter
Rimix Radio,https://rimixradio.com/feed,OG,success,2025-11-29 11:34:17,United States,rimixradio.com,Sending,FALSE,Karen,,FALSE,
The Poke,https://thepoke.co.uk/feed,OG,success,2025-11-29 11:34:19,United Kingdom,thepoke.co.uk,Sending,FALSE,Sam,,FALSE,
Celeb Dirty Laundry,https://celebdirtylaundry.com/feed,OG,success,2025-11-29 11:34:27,United States,celebdirtylaundry.com,Sending,FALSE,Karen,,FALSE,
Over60,https://oversixty.com.au/feed,OG,success,2025-11-29 12:03:09,Australia,oversixty.com.au,To Do,FALSE,Sam,,FALSE,
Quad Cities,https://quadcities.com/feed,OG,success,2025-11-29 11:34:32,United States,quadcities.com,Sending,FALSE,Karen,,FALSE,
Gematsu,https://gematsu.com/feed,OG,success,2025-11-29 12:03:10,Australia,gematsu.com,Sending,FALSE,Later,,FALSE,
Jedi News,https://www.jedinews.com/feed/,RSS,success,2025-11-29 11:34:42,United Kingdom,jedinews.co.uk,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Talking Rugby Union (TRU),-,N/A,-,,United Kingdom,talkingrugbyunion.co.uk,No feed generated,FALSE,,,FALSE,
AllHipHop,https://allhiphop.com/feed,OG,success,2025-11-29 11:34:43,United States,allhiphop.com,Sending,FALSE,Karen,,FALSE,
Mom and More,https://momandmore.com/feed,OG,success,2025-11-29 11:35:01,United States,momandmore.com,Sending,FALSE,Sam,,FALSE,Error adding content feed
IMBOLDN,https://imboldn.com/feed,OG,success,2025-11-29 11:35:05,United States,imboldn.com,Sending,FALSE,Karen,,FALSE,
RNZ,-,N/A,-,,New Zealand,radionz.co.nz,No feed generated,FALSE,,,FALSE,
Manx Radio,-,N/A,-,,United Kingdom,manxradio.com,No feed generated,FALSE,,,FALSE,
Derry Daily,https://derrydaily.net/feed,N/A,failed,2025-11-29 11:35:05,United Kingdom,derrydaily.net,No feed generated,FALSE,Sam,,FALSE,
Indiana Public Media,https://www.ipm.org/index.rss,OG,success,2025-11-29 11:35:10,United States,indianapublicmedia.org,Sending,FALSE,Karen,,FALSE,
I Creative Ideas,https://icreativeideas.com/feed,OG,success,2025-11-29 11:35:11,United States,icreativeideas.com,Irrelevant prospect,FALSE,Karen,,FALSE,"""No relevant articles found on content feeds""
(Most articles are very old)"
Newsdakota.com,https://newsdakota.com/feed,OG,success,2025-11-29 11:35:16,United States,newsdakota.com,Sending,FALSE,Karen,,FALSE,
Essex Media Group,https://itemlive.com/feed,OG,success,2025-11-29 12:03:12,,itemlive.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
MageeNews.com,https://mageenews.com/feed,OG,success,2025-11-29 11:35:23,United States,mageenews.com,Sending,FALSE,Karen,,FALSE,
TheBigLead,https://thebiglead.com/feed,N/A,failed,2025-11-29 11:35:23,United States,thebiglead.com,No feed generated,FALSE,Sam,,FALSE,
EventHubs,https://www.eventhubs.com/news/feed/frontpage/,OG,success,2025-11-29 11:35:25,United States,eventhubs.com,Sending,FALSE,Karen,,FALSE,
Wdtv,-,N/A,-,,United States,wdtv.com,No feed generated,FALSE,,,FALSE,
Thecryptobasic,https://thecryptobasic.com/feed,OG,success,2025-11-29 11:35:33,United States,thecryptobasic.com,Sending,FALSE,Karen,,FALSE,
