prospect_id,company_name,domain,last_scrape_date,status,articles_found,rss_url,error_message,data_source
22,Chinese Herald,chineseherald.co.nz,2026-03-20 07:00:10,failed,0,,HTTP 403,N/A
28,Crime Online,crimeonline.com,2026-03-20 07:00:10,success,10,https://swelbyboy.github.io/prospect-rss-feeds/crime-online.xml,,RSS
14,Isle of Wight Radio,iwradio.co.uk,2026-03-20 07:00:10,success,10,https://swelbyboy.github.io/prospect-rss-feeds/isle-of-wight-radio.xml,,RSS
1,Rugby Addict,rugby-addict.com,2026-03-20 07:00:10,success,0,https://swelbyboy.github.io/prospect-rss-feeds/rugby-addict.xml,,RSS
29,Best Little Sites,comicbookmovie.com,2026-03-20 07:00:10,success,8,https://swelbyboy.github.io/prospect-rss-feeds/best-little-sites.xml,,RSS
3,Pacific Media Group,pmghawaii.com,2026-03-20 07:00:10,success,6,https://swelbyboy.github.io/prospect-rss-feeds/pacific-media-group.xml,,RSS
33,Ringside News,ringsidenews.com,2026-03-20 07:00:10,success,10,https://swelbyboy.github.io/prospect-rss-feeds/ringside-news.xml,,RSS
25,Eleven Warriors,elevenwarriors.com,2026-03-20 07:00:10,success,10,https://swelbyboy.github.io/prospect-rss-feeds/eleven-warriors.xml,,RSS
53,Gematsu,gematsu.com,2026-03-20 07:00:10,success,10,https://swelbyboy.github.io/prospect-rss-feeds/gematsu.xml,,RSS
43,Just Jared,justjared.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/just-jared.xml,,RSS
27,Farmers Guardian,farmersguardian.com,2026-03-20 07:00:11,failed,0,,HTTP 404,N/A
75,Derry Daily,derrydaily.net,2026-03-20 07:00:11,failed,0,,HTTP 403,N/A
61,Mom and More,momandmore.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/mom-and-more.xml,,RSS
78,I Creative Ideas,icreativeideas.com,2026-03-20 07:00:11,success,8,https://swelbyboy.github.io/prospect-rss-feeds/i-creative-ideas.xml,,RSS
38,Londra Gazete,londragazete.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/londra-gazete.xml,,RSS
85,MageeNews.com,mageenews.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/mageenews-com.xml,,RSS
88,EventHubs,eventhubs.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/eventhubs.xml,,RSS
52,Quad Cities,quadcities.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/quad-cities.xml,,RSS
84,Essex Media Group,itemlive.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/essex-media-group.xml,,RSS
99,Bounding Into Comics,boundingintocomics.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/bounding-into-comics.xml,,RSS
92,FOX 24 Charleston,foxcharleston.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/fox-24-charleston.xml,,RSS
87,TheBigLead,thebiglead.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/thebiglead.xml,,RSS
64,IMBOLDN,imboldn.com,2026-03-20 07:00:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/imboldn.xml,,RSS
